"CNN","Corridor","Limits","CNNRightLeft","BlockSide","FullName","WeekDay","FromHour","ToHour","Week1","Week2","Week3","Week4","Week5","Holidays","BlockSweepID","Line"
"5556000","Fillmore St","Washington St  -  Jackson St","L","West","Fri 1st & 3rd","Fri","6","8","1","0","1","0","0","0","1620625","LINESTRING (-122.434380484153 37.79159165099, -122.434557721145 37.792471637206)"
"4423000","Cortland Ave","Bocana St  -  Bennington St","L","North","Tue 1st, 3rd, 5th","Tues","7","8","1","0","1","0","1","0","1615493","LINESTRING (-122.418584376094 37.739297279668, -122.418460577381 37.73924894242, -122.417779081597 37.739183665931)"
"1578000","28th Ave","Clement St  -  Geary Blvd","L","East","Thu 2nd & 4th","Thu","10","12","0","1","0","1","0","0","1644329","LINESTRING (-122.488085018467 37.78187449916, -122.487945906035 37.77994713275)"
"4542000","Crystal St","De Long St  -  Alemany Blvd","L","West","Wed 1st & 3rd","Wed","8","10","1","0","1","0","0","0","1630595","LINESTRING (-122.460612899882 37.709673493795, -122.460618991232 37.710028093581, -122.460482353698 37.710322082762)"
"9146000","Mission St","Richland Ave  -  Crescent Ave","L","East","Wed 2nd & 4th","Wed","6","8","0","1","0","1","0","0","1641359","LINESTRING (-122.424466262427 37.736061172157, -122.424702562024 37.735369870856)"
"7789000","Keith St","Van Dyke Ave  -  Wallace Ave","R","NorthWest","Monday","Mon","12","14","1","1","1","1","1","0","1616433","LINESTRING (-122.39054746223 37.728099081315, -122.3911076166 37.727476346423)"
"10576000","Polk St","Broadway  -  Vallejo St","R","East","Tuesday","Tues","6","8","1","1","1","1","1","0","1609712","LINESTRING (-122.421768166388 37.795945403281, -122.421960910876 37.796899747982)"
"4884201","Dolores St","27th St  -  Duncan St","R","West","Wed 1st, 3rd, 5th","Wed","7","8","1","0","1","0","1","0","1630801","LINESTRING (-122.42468979388 37.747033403328, -122.424762737692 37.746917712743, -122.424708937455 37.746349890135, -122.424602793165 37.746241400134)"
"1644000","30th Ave","Balboa St  -  Cabrillo St","R","West","Fri 2nd & 4th","Fri","10","12","0","1","0","1","0","0","1644501","LINESTRING (-122.489815439342 37.776057567375, -122.489679842032 37.774191996826)"
"6590201","Guerrero St","27th St  -  Duncan St","R","West","Thu 2nd & 4th","Thu","7","9","0","1","0","1","0","0","1606772","LINESTRING (-122.422383535663 37.747171915024, -122.422434433061 37.747021056745, -122.422385811595 37.746495224666, -122.422310655307 37.746376519604)"
"9795000","Oakdale Ave","Toland St  -  Barneveld Ave","L","SouthWest","Friday","Fri","0","6","1","1","1","1","1","0","1615659","LINESTRING (-122.401555700579 37.740961928202, -122.403186035637 37.741885881715)"
"6093201","Geary Blvd","36th Ave  -  37th Ave","R","North","Thu 2nd & 4th","Thu","11","13","0","1","0","1","0","0","1644415","LINESTRING (-122.496523868846 37.77955058166, -122.496640273613 37.779599335073, -122.49747575378 37.779566921331, -122.497591715703 37.779504086991)"
"7580000","Jones St","Pleasant St  -  Clay St","R","East","Thursday","Thu","7","9","1","1","1","1","1","0","1597737","LINESTRING (-122.414381908065 37.792784069994, -122.414470074575 37.793223146304)"
"455000","09th St","Ringold St  -  Sheridan St","L","NorthEast","Wednesday","Wed","2","6","1","1","1","1","1","0","1642569","LINESTRING (-122.411071360372 37.7733326253, -122.410691587253 37.773024773115)"
"1277000","23rd St","Church St  -  Nellie St","L","South","Tue 2nd & 4th","Tues","12","14","0","1","0","1","0","0","1634278","LINESTRING (-122.427583226174 37.753291785823, -122.428165307895 37.753256907625)"
"7308000","Irving St","31st Ave  -  32nd Ave","L","South","Fri 1st, 3rd, 5th","Fri","13","15","1","0","1","0","1","0","1645184","LINESTRING (-122.489983910452 37.762995166068, -122.491053534941 37.762947980633)"
"7834201","King St","04th St  -  05th St","R","NorthWest","Sunday","Sun","1","3","1","1","1","1","1","1","1627911","LINESTRING (-122.394035065718 37.776332976564, -122.394246213317 37.776327050705, -122.396258774885 37.774735375032, -122.396261346424 37.774578067059)"
"313000","06th Ave","Lake St  -  California St","R","West","Wed 2nd & 4th","Wed","9","11","0","1","0","1","0","0","1643762","LINESTRING (-122.464693460649 37.786670438522, -122.464572159483 37.784993972874)"
"9178000","Mission St","Geneva Ave  -  Rolph St","R","NorthWest","Friday","Fri","6","8","1","1","1","1","1","0","1600044","LINESTRING (-122.441019561727 37.716459545953, -122.441554284708 37.71575344485)"
"9279101","Monterey Blvd","Gennessee St  -  Ridgewood Ave","L","South","Thu 1st, 3rd, 5th","Thu","7","8","1","0","1","0","1","0","1619555","LINESTRING (-122.451146666684 37.731536847276, -122.451252578949 37.731491231935, -122.453330546379 37.731485542565, -122.453411343763 37.731530646827)"
"2488101","Cesar Chavez St","South Van Ness Ave  -  Mission St","L","South","Monday","Mon","6","8","1","1","1","1","1","0","1615019","LINESTRING (-122.415862792697 37.748212150197, -122.41600513949 37.748153487746, -122.418069410015 37.748113033124, -122.418221170888 37.748165688851)"
"9878201","Octavia St, Frontage East","Page St  -  Lily St","L",,"Monday","Mon","9","11","1","1","1","1","1","0","1628566","LINESTRING (-122.423947061538 37.773889238591, -122.423810984335 37.774002242233, -122.423886747891 37.774375980171)"
"8369201","Lincoln Way","31st Ave  -  32nd Ave","R","North","Wed 1st, 3rd, 5th","Wed","8","10","1","0","1","0","1","0","1645578","LINESTRING (-122.490116227188 37.764880646037, -122.490230475043 37.764908238991, -122.491036582736 37.76487200754, -122.491185816859 37.76483257194)"
"10992000","Rhode Island St","Division St  -  Alameda St","R","West","Tuesday","Tues","0","6","1","1","1","1","1","0","1620986","LINESTRING (-122.403037758903 37.769828657378, -122.402926810138 37.768648127646)"
"12872000","Union St","Fillmore St  -  Steiner St","R","North","Wednesday","Wed","6","8","1","1","1","1","1","0","1598735","LINESTRING (-122.435489827508 37.797089001171, -122.437137704063 37.796879341102)"
"12424000","Taraval St","47th Ave  -  48th Ave","L","South","Mon 2nd & 4th","Mon","7","8","0","1","0","1","0","0","1639223","LINESTRING (-122.505690987787 37.741716205716, -122.506865452642 37.741673016257)"
"10455000","Pine St","Battery St  -  Sansome St","L","South","Tuesday","Tues","2","6","1","1","1","1","1","0","1609339","LINESTRING (-122.399763352761 37.792257948113, -122.400933081319 37.792108403103)"
"4343000","Conkling St","Silver Ave  -  Waterville St","R","NorthEast","Thursday","Thu","13","15","1","1","1","1","1","0","1637407","LINESTRING (-122.401807982205 37.734727321665, -122.401904377379 37.735666494952, -122.402349449657 37.735917141562, -122.402824983827 37.735891249175)"
"6266000","Golden Gate Ave","Van Ness Ave  -  Franklin St","R","North","Tuesday","Tues","2","6","1","1","1","1","1","0","1633154","LINESTRING (-122.420439517797 37.781030842108, -122.42208679257 37.780821047976)"
"4424000","Cortland Ave","Bennington St  -  Wool St","L","North","Tue 1st, 3rd, 5th","Tues","7","8","1","0","1","0","1","0","1615494","LINESTRING (-122.417779081597 37.739183665931, -122.417138818749 37.739121437812)"
"8679000","Maple St","Jackson St  -  Washington St","L","East","Wed 1st & 3rd","Wed","8","10","1","0","1","0","0","0","1640372","LINESTRING (-122.455773232286 37.789769678583, -122.455595137331 37.788888366608)"
"9119000","Mission St","Sycamore St  -  18th St","R","West","Tuesday","Tues","4","6","1","1","1","1","1","0","1618985","LINESTRING (-122.419443735953 37.762712867057, -122.419359267521 37.761835855191)"
"298000","05th St","Clementina St  -  Folsom St","R","SouthWest","Monday","Mon","0","2","1","1","1","1","1","0","1612062","LINESTRING (-122.403920881443 37.780699049213, -122.40338720908 37.780264972454)"
"1186000","22nd St","Treat Ave  -  Folsom St","L","South","Tuesday","Tues","9","11","1","1","1","1","1","0","1646636","LINESTRING (-122.413294049052 37.755765914343, -122.414387601144 37.755699464756)"
